"Participant_ID","Group","Treatment","Word_Count","Character_Count","Criterion_Score","Mechanics_Errors","Grammar_Errors","Usage_Errors","Style_Errors","Delete_Key_Count","Mechanic_Errors/WC","Grammar_Errors/WC","Usage_Errors/WC","Style_Errors/WC","Delete_Key/CC"
"T051","BL","ST",123,733,2,5,0,0,4,47,0.040650406504065,0,0,0.032520325203252,0.0641200545702592
"T061","CH","DT",520,3002,5,12,1,2,1,1138,0.0230769230769231,0.00192307692307692,0.00384615384615385,0.00192307692307692,0.379080612924717
"T061","CH","ST",100,575,2,0,0,0,6,321,0,0,0,0.06,0.558260869565217
"T063","CH","DT",380,2365,4,10,0,1,0,1102,0.0263157894736842,0,0.00263157894736842,0,0.465961945031712
"T063","CH","ST",120,718,1,3,1,0,7,161,0.025,0.00833333333333333,0,0.0583333333333333,0.224233983286908
"T064","CH","DT",131,849,2,6,1,0,4,670,0.0458015267175573,0.00763358778625954,0,0.0305343511450382,0.789163722025913
"T064","CH","ST",72,416,1,0,1,0,16,127,0,0.0138888888888889,0,0.222222222222222,0.305288461538462
"T065","CH","DT",370,2222,4,7,0,1,0,552,0.0189189189189189,0,0.0027027027027027,0,0.248424842484248
"T065","CH","ST",190,1045,3,3,0,0,11,127,0.0157894736842105,0,0,0.0578947368421053,0.121531100478469
"T066","CH","DT",289,1634,3,6,2,2,0,1165,0.0207612456747405,0.0069204152249135,0.0069204152249135,0,0.71297429620563
"T066","CH","ST",98,569,1,0,0,1,6,103,0,0,0.0102040816326531,0.0612244897959184,0.181019332161687
"T068","CH","DT",534,3279,5,24,1,1,5,1235,0.0449438202247191,0.00187265917602996,0.00187265917602996,0.00936329588014981,0.376639219274169
"T068","CH","ST",183,1087,3,4,1,1,0,177,0.0218579234972678,0.00546448087431694,0.00546448087431694,0,0.162833486660534
"T077","BH","DT",386,2444,4,10,1,4,0,970,0.0259067357512953,0.00259067357512953,0.0103626943005181,0,0.396890343698854
"T077","BH","ST",119,708,2,2,0,2,8,214,0.0168067226890756,0,0.0168067226890756,0.0672268907563025,0.30225988700565
"T078","BH","DT",104,599,1,1,1,4,6,517,0.00961538461538462,0.00961538461538462,0.0384615384615385,0.0576923076923077,0.863105175292154
"T078","BH","ST",120,705,1,2,0,1,20,87,0.0166666666666667,0,0.00833333333333333,0.166666666666667,0.123404255319149
"T079","BH","DT",234,1493,4,4,0,0,12,1247,0.0170940170940171,0,0,0.0512820512820513,0.835231078365707
"T079","BH","ST",82,541,2,0,0,0,12,187,0,0,0,0.146341463414634,0.345656192236599
"T082","BH","DT",391,2450,4,11,0,4,22,1096,0.0281329923273657,0,0.010230179028133,0.0562659846547315,0.44734693877551
"T082","BH","ST",155,1021,3,3,0,1,36,166,0.0193548387096774,0,0.00645161290322581,0.232258064516129,0.16258570029383
"T083","BH","DT",250,1642,4,8,0,5,15,1247,0.032,0,0.02,0.06,0.759439707673569
"T083","BH","ST",140,845,3,0,0,0,0,275,0,0,0,0,0.325443786982249
"T084","BH","DT",533,3139,5,8,1,8,0,NA,0.0150093808630394,0.00187617260787992,0.0150093808630394,0,NA
"T084","BH","ST",146,938,3,2,0,0,19,NA,0.0136986301369863,0,0,0.13013698630137,NA
"T091","CL","DT",429,2610,5,24,0,6,12,829,0.0559440559440559,0,0.013986013986014,0.027972027972028,0.317624521072797
"T091","CL","ST",218,1197,3,4,1,0,7,114,0.018348623853211,0.00458715596330275,0,0.0321100917431193,0.0952380952380952
"T092","CL","DT",373,2172,4,14,1,4,35,NA,0.0375335120643432,0.00268096514745308,0.0107238605898123,0.0938337801608579,NA
"T092","CL","ST",133,783,2,1,0,3,20,NA,0.0075187969924812,0,0.0225563909774436,0.150375939849624,NA
"T093","CL","DT",214,1420,4,3,0,3,15,686,0.014018691588785,0,0.014018691588785,0.0700934579439252,0.483098591549296
"T093","CL","ST",74,494,2,3,0,0,16,65,0.0405405405405405,0,0,0.216216216216216,0.131578947368421
"T094","CL","DT",134,826,1,7,3,4,14,414,0.0522388059701493,0.0223880597014925,0.0298507462686567,0.104477611940299,0.501210653753027
"T094","CL","ST",104,599,2,1,0,0,3,60,0.00961538461538462,0,0,0.0288461538461538,0.10016694490818
"T096","CL","DT",402,2391,4,15,2,3,1,454,0.0373134328358209,0.00497512437810945,0.00746268656716418,0.00248756218905473,0.189878711836052
"T096","CL","ST",133,850,2,6,0,1,0,71,0.0451127819548872,0,0.0075187969924812,0,0.0835294117647059
"T098","CL","DT",334,2019,4,8,2,4,1,NA,0.0239520958083832,0.00598802395209581,0.0119760479041916,0.0029940119760479,NA
"T098","CL","ST",127,743,2,0,0,0,4,NA,0,0,0,0.031496062992126,NA
"T099","CL","DT",338,2112,4,19,1,0,9,335,0.0562130177514793,0.0029585798816568,0,0.0266272189349112,0.158617424242424
"T099","CL","ST",142,831,2,5,0,2,12,39,0.0352112676056338,0,0.0140845070422535,0.0845070422535211,0.0469314079422383
"T106","BL","DT",74,483,1,8,1,0,13,457,0.108108108108108,0.0135135135135135,0,0.175675675675676,0.946169772256729
"T106","BL","ST",105,591,2,0,0,0,23,61,0,0,0,0.219047619047619,0.10321489001692
"T112","BL","DT",22,150,1,0,1,0,0,1017,0,0.0454545454545455,0,0,6.78
"T112","BL","ST",44,243,1,1,0,0,5,207,0.0227272727272727,0,0,0.113636363636364,0.851851851851852
"T113","BL","DT",364,2209,4,10,1,0,21,466,0.0274725274725275,0.00274725274725275,0,0.0576923076923077,0.210955183340878
"T113","BL","ST",106,651,2,4,0,0,15,82,0.0377358490566038,0,0,0.141509433962264,0.125960061443932
"T114","BL","DT",466,2760,5,12,1,1,1,1210,0.0257510729613734,0.00214592274678112,0.00214592274678112,0.00214592274678112,0.438405797101449
"T114","BL","ST",188,1044,3,2,0,0,1,165,0.0106382978723404,0,0,0.00531914893617021,0.158045977011494
"T121","CH","DT",494,3317,5,8,0,2,1,703,0.0161943319838057,0,0.00404858299595142,0.00202429149797571,0.211938498643352
"T121","CH","ST",103,576,1,0,0,1,12,80,0,0,0.00970873786407767,0.116504854368932,0.138888888888889
"T122","CH","DT",256,1564,4,7,0,4,9,NA,0.02734375,0,0.015625,0.03515625,NA
"T122","CH","ST",132,758,2,2,0,0,0,NA,0.0151515151515152,0,0,0,NA
"T124","CH","DT",256,1602,4,4,1,1,1,NA,0.015625,0.00390625,0.00390625,0.00390625,NA
"T124","CH","ST",109,623,2,0,0,0,6,NA,0,0,0,0.055045871559633,NA
"T126","CH","DT",553,3448,5,18,4,10,1,1462,0.0325497287522604,0.00723327305605787,0.0180831826401447,0.00180831826401447,0.424013921113689
"T126","CH","ST",126,761,2,4,2,1,4,170,0.0317460317460317,0.0158730158730159,0.00793650793650794,0.0317460317460317,0.223390275952694
"T128","CH","DT",222,1380,3,8,0,0,0,717,0.036036036036036,0,0,0,0.519565217391304
"T128","CH","ST",117,666,2,0,0,0,23,211,0,0,0,0.196581196581197,0.316816816816817
"T130","CH","DT",526,3171,5,17,2,1,6,1335,0.032319391634981,0.00380228136882129,0.00190114068441065,0.0114068441064639,0.421002838221381
"T130","CH","ST",190,1208,3,2,2,0,1,243,0.0105263157894737,0.0105263157894737,0,0.00526315789473684,0.201158940397351
"T132","CH","DT",585,3605,5,4,2,4,1,934,0.00683760683760684,0.00341880341880342,0.00683760683760684,0.00170940170940171,0.259084604715673
"T132","CH","ST",222,1399,3,4,0,1,12,91,0.018018018018018,0,0.0045045045045045,0.0540540540540541,0.0650464617583989
