Time,BtoB
,2010
,2480
,3510
,2130
,2600
,2780
,1040
,2400
,3130
,2320
,2520
,2470
,3050
,2650
,2750
,2200
,2690
,2720
,2600
,2680
,2390
,2400
,2890
,1860
,2350
,2460
,2890
,2860
,4500
,6850
,2620
,2470
,2620
,1030
,2280
,2260
,5620
,2980
,2690
,2170
,2290
,3240
,2880
,3010
,4420
,3160
,3140
,3320
,2190
,3490
,6050
,3630
,3170
,2960
,2550
,3790
,3140
,1760
,2460
,1580
,2660
,4600
,2110
,2150
,2450
,4060
,1570
,2040
,2330
,2430
,1710
,5510
,2300
,1910
,3070
,2800
,2730
,2890
,3400
,2990
,3290
,5640
,4280
,2550
,3400
,2940
,3270
,2340
,4360
,3990
,2730
,2330
,1400
,1680
,3210
,2190
,900
,4210
,3820
,2780
,3470
,3270
,2910
,2180
,1520
,2600
,2720
,2260
,1160
,2040
,2900
,2240
,3160
,1770
,2680
,2330
,3820
,2260
,2860
,2830
,2630
,2740
,1830
,2610
,2980
,1190
,1970
,2000
,2120
,2620
,2090
,3120
,2550
,2560
,2990
,1870
,3090
,1560
,2320
,2180
,1990
,2030
,2520
,2540
,2120
,2940
,1810
,2640
,2090
,1680
,2470
,2280
,2040
,2940
,1950
,2120
,1830
,2700
,2770
,2600
,2610
,2590
,2100
,1680
,1950
,3080
,1560
,3230
,4070
,4670
,3140
,2250
,2430
,1900
,2860
,1330
,1650
,2120
,1590
,1770
,1880
,3260
,4040
,4270
,2990
,2820
,2000
,2850
,1870
,8060
,890
,16320
,850
,1520
,2110
,3310
,1880
,2300
,2590
,2070
,3900
,3360
,3140
,2860
,1980
,1460
,3310
,3460
,1840
,1940
,2030
,3600
,1880
,5530
,2210
,1820
,2660
,2880
,2270
,2870
,4710
,6340
,2580
,2620
,1660
,2040
,2270
,2270
,2610
,2200
,2180
,2210
,2020
,620
,2070
,2740
,4250
,2230
,2570
,2860
,3840
,3940
,4640
,2900
,2430
,3780
,5780
,1890
,2960
,2520
,1790
,2580
,2100
,1470
,2630
,2380
,2990
,2870
,2590
,2260
,5030
,5910
,3480
,2510
,2590
,4960
,2200
,4340
,1570
,3580
,2600
,4130
,1990
,4180
,5570
,2170
,2610
,2410
,4960
,2900
,2590
,2110
,1860
,1800
,2060
,2320
,1940
,1100
,2450
,1110
,1360
,2420
,3140
,2340
,1240
,2730
,3620
,4300
,2320
,1930
,1670
,2210
,2400
,2400
,1450
,2470
,720
,1440
,2080
,2790
,2300
,2960
,2330
,2800
,3550
,3610
,5080
,8740
,4130
,1550
,1870
,2270
,2090
,3210
,2710
,2110
,2930
,3510
,2960
,3600
,2830
,2670
,4120
,2670
,2760
,2760
,2390
,3930
,2950
,4250
,10310
,1800
,3080
,2650
,2680
,2630
,2990
,2840
,2830
,4310
,2750
,2520
,3090
,3270
,2390
,2670
,2760
,2450
,2610
,4060
,2660
,3120
,1990
,2890
,2720
,2410
,2480
,2500
,2440
,2900
,3100
,2560
,3070
,2470
,2940
,2590
,3070
,2760
,2680
,3320
,3170
,2340
,3140
,2550
,2840
,3290
,2570
,3080
,2810
,2320
,3070
,2800
,2660
,2730
,2500
,2460
,2620
,2720
,2970
,2720
,2520
,2570
,2640
,2100
,2540
,2620
,2120
,2730
,2720
,2280
,2460
,2710
,2400
,2260
,2510
,2420
,2450
,2550
,3200
,2650
,2770
,2890
,2810
,2660
,2570
,2350
,3010
,2680
,2790
,2590
,2980
,1980
,2560
,2590
,2670
,2820
,2730
,2980
,2440
,5020
,5450
,3360
,2610
,2800
,2710
,2030
,2260
,2520
,2530
,5480
,1750
,6930
,4250
,1340
,1760
,3170
,2260
,2630
,2220
,2100
,2330
,2730
,2080
,2570
,2350
,2060
,2910
,2520
,2580
,2700
,2740
,2460
,3160
,2870
,3140
,5690
,9540
,5110
,2820
,3620
,3420
,3200
,4250
,6020
,2490
,5540
,5020
,3130
,2690
,3770
,1210
,2740
,1450
,2550
,3210
,2620
,2890
,2940
,2550
,2720
,2920
,3840
,3100
,3270
,3170
,2250
,3030
,2400
,2020
,3660
,3470
,2860
,3090
,2530
,2590
,4860
,2090
,4160
,2230
,390
,7360
,4490
,690
,5230
,2730
,7870
,11740
,5020
,4310
,3570
,1840
,4350
,5410
,7440
,3510
,4140
,3640
,7600
,7300
,3830
,4220
,5380
,2150
,3330
,3430
,2950
,1080
,4910
,2140
,2680
,2650
,2710
,6480
,2860
,2720
,3460
,2960
,5450
,6280
,2810
,2940
,2370
,3500
,4530
,2660
,2800
,2170
,2800
,2790
,3160
,1940
,2450
,2430
,1880
,4550
,2750
,2530
,2960
,2400
,2180
,1480
,2110
,2520
,590
,3100
,1620
,2290
,2100
,2910
,5100
,3860
,2890
,2750
,3140
,2870
,1790
,2300
,1210
,490
,1920
,1420
,3040
,2750
,3750
,2730
,1110
,2340
,3120
,1850
,2130
,1330
,2750
,2450
,1400
,2450
,2810
,3190
,2550
,4760
,1390
,1490
,2540
,2420
,3440
,3170
,2450
,2250
,1750
,2060
,3340
,1390
,1760
,2050
,1250
,1740
,1130
,1670
,2440
,2810
,2530
,3410
,2340
,2780
,6360
,1900
,4850
,6550
,1390
,3300
