Timestamp,BR,RtoR
25/06/2018 12:58:37.379,1663,2.334
25/06/2018 12:58:37.435,1664,2.334
25/06/2018 12:58:37.491,1663,2.334
25/06/2018 12:58:37.547,1663,-0.164
25/06/2018 12:58:37.603,1664,-0.164
25/06/2018 12:58:37.659,1663,-0.164
25/06/2018 12:58:37.715,1663,-0.164
25/06/2018 12:58:37.771,1663,0.185
25/06/2018 12:58:37.827,1663,0.185
25/06/2018 12:58:37.883,1663,0.185
25/06/2018 12:58:37.939,1664,0.185
25/06/2018 12:58:37.995,1664,0.185
25/06/2018 12:58:38.051,1664,-0.185
25/06/2018 12:58:38.107,1664,-0.185
25/06/2018 12:58:38.163,1664,-0.185
25/06/2018 12:58:38.219,1668,-0.185
25/06/2018 12:58:38.275,1669,-0.185
25/06/2018 12:58:38.331,1673,-0.185
25/06/2018 12:58:38.387,1679,-0.185
25/06/2018 12:58:38.443,1680,-0.185
25/06/2018 12:58:38.499,1684,-0.185
25/06/2018 12:58:38.555,1686,0.516
25/06/2018 12:58:38.611,1688,0.516
25/06/2018 12:58:38.667,1691,0.516
25/06/2018 12:58:38.723,1693,0.516
25/06/2018 12:58:38.779,1695,0.516
25/06/2018 12:58:38.835,1696,0.516
25/06/2018 12:58:38.891,1696,0.516
25/06/2018 12:58:38.947,1697,0.516
25/06/2018 12:58:39.003,1697,0.516
25/06/2018 12:58:39.059,1697,0.516
25/06/2018 12:58:39.115,1697,0.516
25/06/2018 12:58:39.171,1697,0.516
25/06/2018 12:58:39.227,1697,0.516
25/06/2018 12:58:39.283,1697,0.516
25/06/2018 12:58:39.339,1696,0.516
25/06/2018 12:58:39.395,1696,0.516
25/06/2018 12:58:39.451,1696,0.516
25/06/2018 12:58:39.507,1696,0.516
25/06/2018 12:58:39.563,1696,0.516
25/06/2018 12:58:39.619,1694,0.516
25/06/2018 12:58:39.675,1694,0.516
25/06/2018 12:58:39.731,1695,0.516
25/06/2018 12:58:39.787,1697,0.516
25/06/2018 12:58:39.843,1698,0.516
25/06/2018 12:58:39.899,1698,0.516
25/06/2018 12:58:39.955,1696,0.516
25/06/2018 12:58:40.011,1692,0.516
25/06/2018 12:58:40.067,1683,0.516
25/06/2018 12:58:40.123,1680,0.516
25/06/2018 12:58:40.179,1676,0.516
25/06/2018 12:58:40.235,1675,0.516
25/06/2018 12:58:40.291,1673,0.516
25/06/2018 12:58:40.347,1671,0.516
25/06/2018 12:58:40.403,1670,0.516
25/06/2018 12:58:40.459,1669,0.516
25/06/2018 12:58:40.515,1670,0.516
25/06/2018 12:58:40.571,1671,0.516
25/06/2018 12:58:40.627,1670,0.516
25/06/2018 12:58:40.683,1669,0.516
25/06/2018 12:58:40.739,1669,0.516
25/06/2018 12:58:40.795,1669,-2.472
25/06/2018 12:58:40.851,1669,-2.472
25/06/2018 12:58:40.907,1669,-2.472
25/06/2018 12:58:40.963,1669,-2.472
25/06/2018 12:58:41.019,1669,-2.472
25/06/2018 12:58:41.075,1668,-2.472
25/06/2018 12:58:41.131,1668,-2.472
25/06/2018 12:58:41.187,1668,-2.472
25/06/2018 12:58:41.243,1668,-2.472
25/06/2018 12:58:41.299,1668,-2.472
25/06/2018 12:58:41.355,1667,-2.472
25/06/2018 12:58:41.411,1667,-2.472
25/06/2018 12:58:41.467,1667,-2.472
25/06/2018 12:58:41.523,1667,-2.472
25/06/2018 12:58:41.579,1666,-2.472
25/06/2018 12:58:41.635,1666,-2.472
25/06/2018 12:58:41.691,1666,-2.472
25/06/2018 12:58:41.747,1666,-2.472
25/06/2018 12:58:41.803,1666,-2.472
25/06/2018 12:58:41.859,1665,-2.472
25/06/2018 12:58:41.915,1665,-2.472
25/06/2018 12:58:41.971,1665,-2.472
25/06/2018 12:58:42.027,1665,-2.472
25/06/2018 12:58:42.083,1665,-2.472
25/06/2018 12:58:42.139,1665,-2.472
25/06/2018 12:58:42.195,1665,-2.472
25/06/2018 12:58:42.251,1665,-2.472
25/06/2018 12:58:42.307,1665,-2.472
25/06/2018 12:58:42.363,1664,-2.472
25/06/2018 12:58:42.419,1665,-2.472
25/06/2018 12:58:42.475,1665,-2.472
25/06/2018 12:58:42.531,1665,-2.472
25/06/2018 12:58:42.587,1664,-2.472
25/06/2018 12:58:42.643,1665,-2.472
25/06/2018 12:58:42.699,1664,-2.472
25/06/2018 12:58:42.755,1664,-2.472
25/06/2018 12:58:42.811,1664,-2.472
25/06/2018 12:58:42.867,1664,-2.472
25/06/2018 12:58:42.923,1664,-2.472
25/06/2018 12:58:42.979,1664,-2.472
25/06/2018 12:58:43.035,1664,-2.472
25/06/2018 12:58:43.091,1664,-2.472
25/06/2018 12:58:43.147,1664,-2.472
25/06/2018 12:58:43.203,1664,-2.472
25/06/2018 12:58:43.259,1664,-2.472
25/06/2018 12:58:43.315,1664,-2.472
25/06/2018 12:58:43.371,1664,-2.472
25/06/2018 12:58:43.427,1664,-2.472
25/06/2018 12:58:43.483,1664,-2.472
25/06/2018 12:58:43.539,1664,-2.472
25/06/2018 12:58:43.595,1664,-2.472
25/06/2018 12:58:43.651,1664,-2.472
25/06/2018 12:58:43.707,1664,-2.472
25/06/2018 12:58:43.763,1664,-2.472
25/06/2018 12:58:43.819,1664,-2.472
25/06/2018 12:58:43.875,1664,-2.472
25/06/2018 12:58:43.931,1664,-2.472
25/06/2018 12:58:43.987,1664,-2.472
25/06/2018 12:58:44.043,1664,-2.472
25/06/2018 12:58:44.099,1664,-2.472
25/06/2018 12:58:44.155,1664,-2.472
25/06/2018 12:58:44.211,1664,-2.472
25/06/2018 12:58:44.267,1664,-2.472
25/06/2018 12:58:44.323,1664,-2.472
25/06/2018 12:58:44.379,1664,-2.472
25/06/2018 12:58:44.435,1664,-2.472
25/06/2018 12:58:44.491,1664,-2.472
25/06/2018 12:58:44.547,1664,-2.472
25/06/2018 12:58:44.603,1664,-2.472
25/06/2018 12:58:44.659,1664,-2.472
25/06/2018 12:58:44.715,1664,-2.472
25/06/2018 12:58:44.771,1664,-2.472
25/06/2018 12:58:44.827,1664,-2.472
25/06/2018 12:58:44.883,1664,-2.472
25/06/2018 12:58:44.939,1664,-2.472
25/06/2018 12:58:44.995,1664,-2.472
25/06/2018 12:58:45.051,1664,-2.472
25/06/2018 12:58:45.107,1664,-2.472
25/06/2018 12:58:45.163,1664,-2.472
25/06/2018 12:58:45.219,1664,-2.472
25/06/2018 12:58:45.275,1664,4.423
25/06/2018 12:58:45.331,1664,4.423
25/06/2018 12:58:45.387,1664,4.423
25/06/2018 12:58:45.443,1664,4.423
25/06/2018 12:58:45.499,1664,4.423
25/06/2018 12:58:45.555,1663,4.423
25/06/2018 12:58:45.611,1663,4.423
25/06/2018 12:58:45.667,1664,4.423
25/06/2018 12:58:45.723,1663,4.423
25/06/2018 12:58:45.779,1663,4.423
25/06/2018 12:58:45.835,1663,4.423
25/06/2018 12:58:45.891,1663,4.423
25/06/2018 12:58:45.947,1663,4.423
25/06/2018 12:58:46.003,1663,4.423
25/06/2018 12:58:46.059,1665,-0.657
25/06/2018 12:58:46.115,1667,-0.657
25/06/2018 12:58:46.171,1667,-0.657
25/06/2018 12:58:46.227,1665,-0.657
25/06/2018 12:58:46.283,1663,0.327
25/06/2018 12:58:46.339,1663,0.327
25/06/2018 12:58:46.395,1663,0.327
25/06/2018 12:58:46.451,1663,0.327
25/06/2018 12:58:46.507,1662,0.327
25/06/2018 12:58:46.563,1662,0.327
25/06/2018 12:58:46.619,1662,0.327
25/06/2018 12:58:46.675,1663,0.327
25/06/2018 12:58:46.731,1663,0.327
25/06/2018 12:58:46.787,1663,0.327
25/06/2018 12:58:46.843,1663,0.327
25/06/2018 12:58:46.899,1663,0.327
25/06/2018 12:58:46.955,1663,0.327
25/06/2018 12:58:47.011,1663,0.327
25/06/2018 12:58:47.067,1662,0.327
25/06/2018 12:58:47.123,1662,0.327
25/06/2018 12:58:47.179,1661,0.327
25/06/2018 12:58:47.235,1662,0.327
25/06/2018 12:58:47.291,1662,-0.972
25/06/2018 12:58:47.347,1661,-0.972
25/06/2018 12:58:47.403,1661,-0.972
25/06/2018 12:58:47.459,1660,-0.972
25/06/2018 12:58:47.515,1660,-0.972
25/06/2018 12:58:47.571,1659,-0.972
25/06/2018 12:58:47.627,1659,-0.972
25/06/2018 12:58:47.683,1659,-0.972
25/06/2018 12:58:47.739,1658,-0.972
25/06/2018 12:58:47.795,1658,-0.972
25/06/2018 12:58:47.851,1658,-0.972
25/06/2018 12:58:47.907,1658,-0.972
25/06/2018 12:58:47.963,1658,-0.972
25/06/2018 12:58:48.019,1658,0.692
25/06/2018 12:58:48.075,1657,0.692
25/06/2018 12:58:48.131,1658,0.692
25/06/2018 12:58:48.187,1658,0.692
25/06/2018 12:58:48.243,1658,0.692
25/06/2018 12:58:48.299,1658,-0.355
25/06/2018 12:58:48.355,1658,-0.355
25/06/2018 12:58:48.411,1658,-0.355
25/06/2018 12:58:48.467,1658,-0.355
25/06/2018 12:58:48.523,1658,0.204
25/06/2018 12:58:48.579,1658,0.204
25/06/2018 12:58:48.635,1658,0.204
25/06/2018 12:58:48.691,1658,0.204
