Participant_ID,Group,Treatment,RR_Raw,KS_Raw
T126,CH,RB,0,0
T126,CH,ST,0,1
T126,CH,PM,0,0
T126,CH,DT,0,1
T126,CH,PR,0,0
T128,CH,RB,1,0
T128,CH,ST,1,1
T128,CH,PM,1,0
T128,CH,DT,1,1
T128,CH,PR,1,0
T130,CH,RB,0,0
T130,CH,ST,0,1
T130,CH,PM,0,0
T130,CH,DT,0,1
T130,CH,PR,0,0
T132,CH,RB,1,0
T132,CH,ST,1,1
T132,CH,PM,1,0
T132,CH,DT,1,1
T132,CH,PR,1,0
T138,BH,RB,1,0
T138,BH,ST,1,1
T138,BH,PM,1,0
T138,BH,DT,1,1
T138,BH,PR,1,0
T139,BH,RB,1,0
T139,BH,ST,1,0
T139,BH,PM,1,0
T139,BH,DT,1,0
T139,BH,PR,1,0
T141,BH,RB,1,0
T141,BH,ST,1,1
T141,BH,PM,1,0
T141,BH,DT,1,1
T141,BH,PR,1,0
T144,BH,RB,1,0
T144,BH,ST,1,1
T144,BH,PM,1,0
T144,BH,DT,1,1
T144,BH,PR,1,0
T145,BH,RB,0,0
T145,BH,ST,0,1
T145,BH,PM,0,0
T145,BH,DT,0,1
T145,BH,PR,0,0
T151,CL,RB,1,0
T151,CL,ST,1,1
T151,CL,PM,1,0
T151,CL,DT,1,1
T151,CL,PR,1,0
T152,CL,RB,1,0
T152,CL,ST,1,1
T152,CL,PM,1,0
T152,CL,DT,1,1
T152,CL,PR,1,0
T154,CL,RB,1,0
T154,CL,ST,1,1
T154,CL,PM,1,0
T154,CL,DT,1,1
T154,CL,PR,1,0
T156,CL,RB,1,0
T156,CL,ST,1,1
T156,CL,PM,1,0
T156,CL,DT,1,1
T156,CL,PR,1,0
T157,CL,RB,1,0
T157,CL,ST,1,1
T157,CL,PM,1,0
T157,CL,DT,1,1
T157,CL,PR,1,0
T162,CL,RB,0,0
T162,CL,ST,0,1
T162,CL,PM,0,0
T162,CL,DT,0,1
T162,CL,PR,0,0
T166,BL,RB,1,0
T166,BL,ST,1,1
T166,BL,PM,1,0
T166,BL,DT,1,1
T166,BL,PR,1,0
T172,BL,RB,1,0
T172,BL,ST,1,0
T172,BL,PM,1,0
T172,BL,DT,1,0
T172,BL,PR,1,0
T173,BL,RB,1,0
T173,BL,ST,1,1
T173,BL,PM,1,0
T173,BL,DT,1,1
T173,BL,PR,1,0
T174,BL,RB,1,0
T174,BL,ST,1,1
T174,BL,PM,1,0
T174,BL,DT,1,1
T174,BL,PR,1,0
T175,BL,RB,1,0
T175,BL,ST,1,1
T175,BL,PM,1,0
T175,BL,DT,1,1
T175,BL,PR,1,0
T176,BL,RB,1,0
T176,BL,ST,1,1
T176,BL,PM,1,0
T176,BL,DT,1,1
T176,BL,PR,1,0
T178,BL,RB,0,0
T178,BL,ST,0,1
T178,BL,PM,0,0
T178,BL,DT,0,1
T178,BL,PR,0,0
TOTAL: 63,-----,----,258,114
TOTAL: 63,-----,----,55,201
TOTAL: 63,-----,----,2,0
