Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
6.378,Tue Jul 03 01:43:20.321 2018,0,0,0,0,
6.381,Tue Jul 03 01:43:20.324 2018,0,0,0,0,
6.383,Tue Jul 03 01:43:20.326 2018,0,0,0,0,
6.386,Tue Jul 03 01:43:20.329 2018,0,0,0,0,
6.391,Tue Jul 03 01:43:20.335 2018,0,0,0,0,
6.402,Tue Jul 03 01:43:20.345 2018,0,0,0,0,
6.405,Tue Jul 03 01:43:20.349 2018,0,0,0,0,
6.415,Tue Jul 03 01:43:20.359 2018,0,0,0,0,
6.418,Tue Jul 03 01:43:20.362 2018,0,0,0,0,
6.422,Tue Jul 03 01:43:20.366 2018,0,0,0,0,
6.426,Tue Jul 03 01:43:20.369 2018,0,0,0,0,
6.429,Tue Jul 03 01:43:20.373 2018,0,0,0,0,
6.432,Tue Jul 03 01:43:20.376 2018,0,0,0,0,
6.435,Tue Jul 03 01:43:20.378 2018,0,0,0,0,
6.438,Tue Jul 03 01:43:20.381 2018,0,0,0,0,
6.442,Tue Jul 03 01:43:20.385 2018,0,0,0,0,
6.445,Tue Jul 03 01:43:20.389 2018,0,0,0,0,
6.448,Tue Jul 03 01:43:20.392 2018,0,0,0,0,
6.455,Tue Jul 03 01:43:20.399 2018,0,0,0,0,
6.46,Tue Jul 03 01:43:20.404 2018,0,0,0,0,
6.47,Tue Jul 03 01:43:20.414 2018,0,0,0,0,
6.484,Tue Jul 03 01:43:20.428 2018,0,0,0,0,
6.492,Tue Jul 03 01:43:20.435 2018,0,0,0,0,
6.502,Tue Jul 03 01:43:20.445 2018,0,0,0,0,
6.512,Tue Jul 03 01:43:20.455 2018,0,0,0,0,
6.524,Tue Jul 03 01:43:20.468 2018,0,0,0,0,
6.532,Tue Jul 03 01:43:20.475 2018,0,0,0,0,
6.543,Tue Jul 03 01:43:20.487 2018,0,0,0,0,
6.553,Tue Jul 03 01:43:20.497 2018,0,0,0,0,
6.565,Tue Jul 03 01:43:20.509 2018,0,0,0,0,
6.572,Tue Jul 03 01:43:20.515 2018,0,0,0,0,
6.582,Tue Jul 03 01:43:20.525 2018,0,0,0,0,
6.592,Tue Jul 03 01:43:20.535 2018,0,0,0,0,
6.607,Tue Jul 03 01:43:20.551 2018,0,0,0,0,
6.618,Tue Jul 03 01:43:20.562 2018,0,0,0,0,
6.628,Tue Jul 03 01:43:20.572 2018,0,0,0,0,
6.635,Tue Jul 03 01:43:20.579 2018,0,0,0,0,
6.645,Tue Jul 03 01:43:20.589 2018,0,0,0,0,
6.663,Tue Jul 03 01:43:20.607 2018,0,0,0,0,
6.684,Tue Jul 03 01:43:20.628 2018,0,0,0,0,
6.687,Tue Jul 03 01:43:20.631 2018,0,0,0,0,
6.69,Tue Jul 03 01:43:20.634 2018,0,0,0,0,
6.697,Tue Jul 03 01:43:20.641 2018,0,0,0,0,
6.71,Tue Jul 03 01:43:20.654 2018,0,0,0,0,
6.715,Tue Jul 03 01:43:20.658 2018,0,0,0,0,
6.728,Tue Jul 03 01:43:20.671 2018,0,0,0,0,
6.731,Tue Jul 03 01:43:20.674 2018,0,0,0,0,
6.742,Tue Jul 03 01:43:20.685 2018,0,0,0,0,
6.752,Tue Jul 03 01:43:20.695 2018,0,0,0,0,
6.763,Tue Jul 03 01:43:20.706 2018,0,0,0,0,
6.772,Tue Jul 03 01:43:20.715 2018,0,0,0,0,
6.797,Tue Jul 03 01:43:20.740 2018,0,0,0,0,
6.803,Tue Jul 03 01:43:20.746 2018,0,0,0,0,
6.806,Tue Jul 03 01:43:20.749 2018,0,0,0,0,
6.813,Tue Jul 03 01:43:20.756 2018,0,0,0,0,
6.822,Tue Jul 03 01:43:20.765 2018,0,0,0,0,
