Time,BtoB
,3990
,660
,1870
,4140
,4120
,1450
,4810
,2300
,5540
,2240
,3400
,3820
,3950
,1440
,3190
,3530
,3500
,3150
,2750
,2110
,2950
,2990
,460
,2890
,2760
,2710
,3450
,2320
,3830
,2920
,3030
,3330
,2610
,3280
,2870
,1420
,1790
,11530
,3260
,3090
,3150
,2860
,2870
,2630
,3660
,2270
,2820
,2670
,2670
,2890
,2610
,2710
,3980
,3310
,1960
,3040
,1120
,2980
,2930
,2940
,2780
,2640
,1420
,2210
,2590
,3190
,2430
,3350
,2830
,4060
,2860
,510
,3110
,2480
,4430
,3930
,2650
,3530
,3580
,3160
,850
,2180
,3330
,1040
,2580
,2490
,3750
,2070
,3040
,3690
,3040
,3090
,3710
,4020
,3420
,2250
,2310
,2770
,2860
,2530
,2920
,3010
,400
,2450
,2870
,3290
,3000
,2910
,2180
,2750
,3090
,3150
,2670
,520
,2960
,4740
,3390
,6450
,3090
,2870
,3330
,2950
,3000
,3150
,2610
,2870
,2470
,3060
,2910
,5670
,4470
,2560
,2660
,3100
,2390
,2810
,3040
,2910
,3030
,3320
,2660
,2750
,3540
,2540
,3250
,5630
,2930
,2340
,5050
,3310
,3020
,3080
,2290
,3110
,2490
,2440
,2900
,4020
,3100
,3230
,2070
,3950
,3000
,2470
,3660
,3130
,2900
,3210
,2950
,3480
,2650
,2790
,1770
,2470
,2050
,3050
,4950
,790
,1090
,540
,610
,2090
,3290
,2970
,3110
,3370
,2600
,2410
,2890
,2780
,2820
,3380
,2330
,3090
,3430
,3500
,3250
,1810
,4970
,8900
,5820
,4020
,2360
,2750
,1100
,1580
,620
,3130
,5150
,710
,1830
,2550
,2940
,3420
,2490
,2650
,2820
,3120
,3040
,2710
,3680
,2430
,3160
,1140
,1940
,3100
,3780
,7170
,2070
,6040
,4100
,3910
,2610
,3830
,2830
,5100
,3510
,3600
,2680
,2260
,4430
,2500
,2570
,3020
,3010
,3130
,3000
,2890
,3070
,3090
,2970
,3120
,3130
,2900
,1970
,2700
,2560
,2800
,2620
,2820
,2850
,2710
,2920
,4930
,2320
,2860
,2780
,2370
,3100
,2950
,3120
,1370
,3440
,1880
,5170
,1060
,600
,2970
,7260
,3570
,2520
,3730
,3260
,4630
,2110
,2780
,4610
,2230
,2930
,3570
,2300
,2510
,3360
,2850
,3250
,2320
,3560
,2640
,3530
,2740
,660
,2580
,3890
,2370
,460
,2940
,790
,3280
,3540
,4110
,4640
,560
,4720
,1760
,7890
,3750
,2500
,3290
,4130
,9660
,5710
,4490
,4290
,3310
,1100
,1530
,2650
,3460
,2750
,2970
,2700
,3480
,3160
,2740
,2970
,3390
,3590
,3790
,2550
,3970
,2910
,3550
,870
,2070
,3020
,1550
,3640
,2180
,3810
,3340
,570
,2870
,3350
,3840
,2400
,3280
,2700
,2570
,2620
,3610
,2720
,2680
,2820
,3330
,2960
,3130
,890
,2360
,7800
,2960
,2010
,4470
,2960
,2020
,3340
,3280
,4180
,2230
,3080
,3420
,1240
,2440
,2220
,3700
,3100
,3240
,3670
,3710
,6300
,3850
,1680
,3850
,2810
,2330
,3670
,3280
,1000
,1970
,3390
,3510
,3180
,3920
,2810
,7770
,2890
,3410
,2340
,3170
,2710
,2600
,3450
,3080
,3320
,3240
,2940
,2930
,2480
,3240
,3760
,2940
,1730
,1770
,2920
,3480
,3190
,2250
,4150
,2970
,2900
,5000
,7250
,2770
,10610
,4260
,4950
,900
,760
,2850
,3420
,1880
,4350
,2590
,4290
,3800
,3960
,4320
,3450
,3430
,4190
,690
,2430
,4880
,6030
,14350
,5530
,2350
,970
,3970
,1510
,3800
,3220
,5420
,2590
,2870
,4120
,5860
,7270
,6460
,930
,6310
,5160
,6220
,3160
,4640
,3180
,3600
,5110
,4040
,3010
,2860
,3000
,3410
,750
,2630
,3190
,7070
,2330
,4100
,5980
,3450
,2900
,3180
,2720
,3010
,3410
,3020
,2810
,3480
,2490
,3370
,3030
,3010
,3120
,2650
,3570
,2800
,2800
,2980
,3110
,2730
,2740
,2840
,2600
,2530
,2920
,3820
,3100
,3110
,3740
,2370
,2870
,3190
,2880
,2950
,2700
,3210
,2860
,2570
,2540
,2860
,2900
,2810
,3130
,2580
,3150
,2540
,2000
,1170
,2470
,3200
,2660
,2960
,2780
,3380
,3040
,2830
,2830
,2950
,2600
,2880
,2780
,2640
,2660
,2750
,2910
,2570
,3030
,2990
,2960
,3290
,2700
,2940
,2600
,2400
,4950
,10360
,5070
,4710
,3560
,10450
,15430
,6890
,6740
,4730
,4260
,4150
,680
,3860
,8510
,1150
,4520
,6940
,2850
,3010
,3650
,4080
,3440
,2520
,3480
,3800
,3310
,3280
,3220
,960
,990
,860
,4410
,3550
,3290
,1200
,2550
,3740
,3580
,3570
,3610
,3690
,3010
,2760
,3940
,3500
,3720
,3490
,3110
,4370
,2300
,2590
,2960
,3250
,3080
,4380
,2240
,3940
,3430
,3060
,3100
,2840
,7860
,6900
,3830
,890
,3640
,3510
,4400
,4380
,950
,2710
,3890
,1990
,7640
,5270
,5630
,3740
,2210
,5250
,2240
,4210
,5270
,6660
,5020
,4520
,5000
,3700
,3370
,270
,9120
,4020
,6360
,1620
,8010
,4290
,3650
,630
,8620
,4870
,3970
,660
,7170
,3650
,3660
,1510
,2010
,4570
,830
,5020
,1260
,2010
,14490
,670
,3180
,6320
,5230
,400
,6900
,2560
,2370
,2350
,770
,3450
,1340
,6540
,420
,1590
,3750
,4390
,7310
,8590
,2080
,9880
,6400
,4720
,3920
,3630
,550
,1580
,350
,3120
,1520
,2740
,6210
,2780
,6530
,5810
,3190
,5800
,2940
,3730
,4780
,7290
,3050
,3630
,2670
,2490
,2660
,1860
,3620
,4720
,1580
,2910
,5160
,2230
,3820
,3520
,3150
,5920
,2630
,6930
,7580
,8340
,2360
,6170
,5150
,1790
,3620
,2440
,4980
,2760
,3120
,1950
,1820
,780
,1910
,4780
,1750
,4080
,2340
,2240
,3670
,6990
,2220
,8350
,4240
,2420
,4170
,2530
,1380
,4000
,5710
,3000
,3460
,3060
,3820
,19370
,1470
,2490
,1170
,19640
,1960
,1550
