Time,BtoB
,2580
,3320
,2970
,3320
,2810
,3210
,2630
,3320
,1690
,1440
,3140
,2280
,3440
,2700
,3090
,3060
,3300
,2990
,2810
,3390
,3150
,3130
,2630
,3100
,3920
,3690
,3380
,3370
,3300
,3390
,3080
,2690
,2970
,2800
,3280
,3030
,3030
,2950
,3190
,2890
,2890
,3340
,2890
,3550
,3110
,3810
,3060
,3270
,2900
,2850
,2860
,3050
,2920
,3620
,3060
,2940
,3020
,2530
,3450
,2890
,3470
,3050
,3060
,3030
,3160
,3120
,3140
,2840
,3700
,1810
,1450
,2760
,3480
,3010
,3090
,3630
,2320
,3540
,2890
,3510
,4000
,640
,2720
,2920
,2010
,1260
,1790
,3330
,3180
,3130
,3080
,3570
,3570
,3080
,3400
,3370
,3090
,3100
,2820
,3370
,2170
,2940
,2920
,2780
,2950
,3080
,2860
,2480
,3290
,2870
,3140
,1260
,2860
,2520
,2990
,3250
,3300
,3790
,2480
,2840
,4130
,1500
,3410
,6890
,3060
,3480
,3100
,3460
,1540
,2870
,3880
,3550
,1380
,1890
,3080
,3690
,4370
,1240
,910
,1000
,1210
,3230
,3540
,3370
,3250
,3440
,3010
,3740
,3360
,2750
,1230
,3620
,4820
,3290
,3380
,3420
,3380
,3370
,3610
,3470
,2920
,3380
,2950
,4120
,920
,1990
,3640
,3130
,2460
,3150
,3120
,4090
,3640
,3500
,3830
,3320
,3310
,3230
,3310
,3010
,2880
,3080
,3510
,3360
,1950
,1100
,3770
,3340
,3460
,3040
,3440
,3450
,3020
,3460
,2950
,3460
,3120
,2960
,3200
,3100
,3110
,3130
,2410
,2960
,3150
,2540
,3580
,3290
,3040
,3010
,2770
,3180
,3140
,3300
,2940
,2820
,2790
,2660
,2010
,3430
,2280
,2920
,3460
,3300
,2830
,3660
,3130
,3080
,3300
,2820
,2980
,3360
,3210
,2670
,700
,3200
,1250
,5350
,3670
,3100
,3060
,2620
,2750
,1360
,4440
,2860
,3800
,2030
,1680
,2970
,660
,580
,2080
,2970
,2850
,2970
,2800
,2470
,3410
,2640
,3230
,3050
,2950
,3090
,3040
,3120
,3100
,2830
,2690
,3660
,3250
,3620
,3420
,2970
,3360
,2830
,2760
,3310
,2860
,3220
,3130
,2700
,2830
,3050
,2920
,3270
,3190
,3080
,2700
,2730
,3060
,1400
,1650
,3080
,2840
,3290
,3240
,3000
,5600
,3030
,2400
,2710
,3170
,3740
,3060
,3430
,2720
,3590
,2870
,2770
,3180
,2520
,3080
,3200
,3290
,2630
,3290
,2910
,3130
,3030
,3190
,3080
,3240
,3060
,3290
,2840
,3320
,2610
,3060
,3180
,3240
,2640
,3580
,3610
,3180
,3330
,3310
,3560
,1280
,1890
,3280
,3230
,2600
,790
,1960
,1490
,1640
,3240
,3140
,2440
,3030
,3000
,1580
,1290
,3930
,2910
,3920
,1680
,1680
,2770
,2730
,2800
,2950
,2680
,1020
,1760
,2640
,2820
,3080
,3620
,3410
,2720
,3080
,3130
,2950
,2970
,3250
,2820
,3100
,2720
,2710
,3020
,3170
,2800
,2840
,3630
,3160
,3030
,2850
,2790
,3220
,2100
,4650
,2070
,1810
,1590
,2800
,3140
,2110
,3840
,3290
,3580
,3400
,3270
,2860
,2990
,5480
,3420
,3010
,3120
,2420
,3020
,3700
,2190
,2570
,2700
,3250
,2170
,2630
,3240
,3310
,3930
,4900
,2770
,3130
,3180
,2530
,910
,550
,1640
,3280
,2910
,2990
,3180
,2770
,2770
,2630
,2750
,2990
,2970
,2970
,3080
,3070
,3190
,3080
,2590
,3190
,2760
,2930
,2960
,2120
,1420
,3300
,2530
,1620
,1190
,3280
,2910
,2690
,2980
,2350
,3090
,2890
,2990
,2710
,3080
,2730
,2920
,3060
,1350
,1660
,2820
,2230
,1580
,2910
,2900
,3230
,2890
,2500
,2940
,3270
,2980
,2870
,2860
,2840
,2980
,2840
,2880
,2770
,2600
,3890
,3390
,2660
,2930
,2820
,3030
,2930
,3130
,2260
,3500
,3000
,3470
,3300
,3580
,3190
,2980
,4040
,2420
,2650
,3770
,3000
,2430
,3020
,2770
,3050
,3070
,3600
,3440
,1510
,1520
,3060
,2910
,3080
,2980
,1530
,1810
,3670
,2890
,2890
,5260
,2760
,3580
,3640
,2330
,3600
,3890
,2680
,3370
,3210
,3040
,3280
,2630
,3760
,2550
,3380
,2960
,3400
,3160
,3110
,2950
,3540
,1480
,1560
,2520
,2810
,2800
,2920
,2710
,1770
,1500
,2820
,2700
,1060
,2620
,1620
,1470
,2900
,2990
,3520
,2740
,2890
,3600
,3030
,3090
,2930
,3060
,3000
,2740
,3180
,2570
,3680
,5420
,3320
,3890
,3160
,3750
,2950
,3290
,2910
,3210
,3130
,3230
,2850
,2870
,2760
,3280
,3080
,2540
,4610
,3940
,3070
,2990
,3540
,2910
,3660
,3260
,1650
,1500
,2680
,2910
,2920
,2930
,2860
,2940
,2780
,2990
,2850
,3220
,2570
,3230
,2510
,2790
,2910
,3410
,3570
,1270
,3620
,3080
,2610
,2390
,2810
,2720
,2260
,2850
,2840
,2710
,2570
,2520
,2630
,3020
,3210
,3700
,2610
,3320
,2710
,3480
,3570
,2790
,3320
,6240
,2370
,3650
,3800
,3240
,3370
,3040
,3220
,3350
,2810
,2740
,2050
,2030
,2850
,2860
,2160
,3050
,2840
,3440
,2640
,3260
,3110
,2910
,2820
,2870
,3340
,3390
,3260
,2690
,2900
,3370
,3160
,3080
,2840
,2960
,2890
,2790
,3130
,2840
,2660
,2770
,2540
,3050
,2540
,2070
,2500
,2540
,2990
,2570
,3260
,2670
,2530
,2720
,2800
,2800
,3070
,2930
,2230
,2630
,2670
,3240
,3010
,3010
,2860
,2540
,2810
,2790
,2860
,2630
,1680
,1390
,820
,1900
,2980
,2740
,3630
,1900
,1350
,1920
,3240
,2670
,2260
,2990
,3130
,2720
,3650
,3040
,2570
,2720
,1520
,1280
,2910
,2580
,2680
,2290
,2530
,2610
,2680
,2520
,2680
,2680
,2960
,2580
,2320
,2200
,3310
,2640
,2930
,3580
,3020
,3520
,2780
,2500
,2910
,2950
,2700
,2570
,2240
,2630
,2770
,2110
,3240
,8280
,3260
,2700
,3750
,3470
,2660
,2730
,3160
,4830
,4490
,3260
,3240
,2620
,2830
,3460
,3070
,2870
,2970
,3390
,3020
,2670
,2930
,1530
,2100
,8290
,3300
,3700
,2140
,2910
,4450
,3100
,2830
,580
,1550
,2670
,1430
,3530
,2550
,2900
,2740
,2950
,2810
,3080
,3630
,3140
,2910
,3090
,3420
,3230
,3700
,3590
,3100
,3320
,3310
,2890
,2840
,3100
,3260
,3140
,3560
,2960
,2590
,4340
,3460
,3290
,2890
,3450
,3530
,2980
,3250
,3120
,3090
,3330
,2700
,3180
,3030
,3590
,3110
,3630
,3130
,2940
,3700
,2640
,3300
,2530
,2370
,2860
,2970
,2530
,2230
,2210
,5510
,4990
,3070
,2770
,1910
,1080
,3180
,3190
,1400
,1700
,1910
