Time,BreathingWaveform
18/07/2018 10:31:02.432,6551934
18/07/2018 10:31:02.472,6556631
18/07/2018 10:31:02.512,6560812
18/07/2018 10:31:02.552,6561793
18/07/2018 10:31:02.592,6560916
18/07/2018 10:31:02.632,6563548
18/07/2018 10:31:02.672,6568504
18/07/2018 10:31:02.712,6575730
18/07/2018 10:31:02.752,6576866
18/07/2018 10:31:02.792,6580737
18/07/2018 10:31:02.832,6585796
18/07/2018 10:31:02.872,6588841
18/07/2018 10:31:02.912,6589874
18/07/2018 10:31:02.952,6593693
18/07/2018 10:31:02.992,6595242
18/07/2018 10:31:03.032,6597255
18/07/2018 10:31:03.072,6598958
18/07/2018 10:31:03.112,6599681
18/07/2018 10:31:03.152,6599681
18/07/2018 10:31:03.192,6598081
18/07/2018 10:31:03.232,6595603
18/07/2018 10:31:03.272,6595397
18/07/2018 10:31:03.312,6596429
18/07/2018 10:31:03.352,6597255
18/07/2018 10:31:03.392,6597255
18/07/2018 10:31:03.432,6596429
18/07/2018 10:31:03.472,6595242
18/07/2018 10:31:03.512,6594829
18/07/2018 10:31:03.552,6594003
18/07/2018 10:31:03.592,6594261
18/07/2018 10:31:03.632,6593125
18/07/2018 10:31:03.672,6592816
18/07/2018 10:31:03.712,6592403
18/07/2018 10:31:03.752,6592609
18/07/2018 10:31:03.792,6592454
18/07/2018 10:31:03.832,6592403
18/07/2018 10:31:03.872,6592764
18/07/2018 10:31:03.912,6592248
18/07/2018 10:31:03.952,6592351
18/07/2018 10:31:03.992,6592558
18/07/2018 10:31:04.032,6592196
18/07/2018 10:31:04.072,6592816
18/07/2018 10:31:04.112,6592041
18/07/2018 10:31:04.152,6592764
18/07/2018 10:31:04.192,6593125
18/07/2018 10:31:04.232,6592403
18/07/2018 10:31:04.272,6592867
18/07/2018 10:31:04.312,6592248
18/07/2018 10:31:04.352,6592403
18/07/2018 10:31:04.392,6591732
18/07/2018 10:31:04.432,6592196
18/07/2018 10:31:04.472,6591938
18/07/2018 10:31:04.512,6591732
18/07/2018 10:31:04.552,6592196
18/07/2018 10:31:04.592,6591990
18/07/2018 10:31:04.632,6592248
18/07/2018 10:31:04.672,6592196
18/07/2018 10:31:04.712,6592300
18/07/2018 10:31:04.752,6593177
18/07/2018 10:31:04.792,6593022
18/07/2018 10:31:04.832,6592816
18/07/2018 10:31:04.872,6592403
18/07/2018 10:31:04.912,6593022
18/07/2018 10:31:04.952,6592919
18/07/2018 10:31:04.992,6593796
18/07/2018 10:31:05.032,6594467
18/07/2018 10:31:05.072,6594313
18/07/2018 10:31:05.112,6593693
18/07/2018 10:31:05.152,6593796
18/07/2018 10:31:05.192,6593383
18/07/2018 10:31:05.232,6593745
18/07/2018 10:31:05.272,6593074
18/07/2018 10:31:05.312,6593022
18/07/2018 10:31:05.352,6592609
18/07/2018 10:31:05.392,6591267
18/07/2018 10:31:05.432,6590751
18/07/2018 10:31:05.472,6590390
18/07/2018 10:31:05.512,6590132
18/07/2018 10:31:05.552,6589977
18/07/2018 10:31:05.592,6589615
18/07/2018 10:31:05.632,6589409
18/07/2018 10:31:05.672,6588583
18/07/2018 10:31:05.712,6587499
18/07/2018 10:31:05.752,6587396
18/07/2018 10:31:05.792,6586725
18/07/2018 10:31:05.832,6586467
18/07/2018 10:31:05.872,6586260
18/07/2018 10:31:05.912,6585021
18/07/2018 10:31:05.952,6584350
18/07/2018 10:31:05.992,6584247
18/07/2018 10:31:06.032,6584866
18/07/2018 10:31:06.072,6585176
18/07/2018 10:31:06.112,6585228
18/07/2018 10:31:06.152,6585434
18/07/2018 10:31:06.192,6585176
18/07/2018 10:31:06.232,6584299
18/07/2018 10:31:06.272,6584247
18/07/2018 10:31:06.312,6583886
18/07/2018 10:31:06.352,6583576
18/07/2018 10:31:06.392,6583886
18/07/2018 10:31:06.432,6584144
18/07/2018 10:31:06.472,6584041
18/07/2018 10:31:06.512,6584557
18/07/2018 10:31:06.552,6584144
18/07/2018 10:31:06.592,6584608
18/07/2018 10:31:06.632,6584144
18/07/2018 10:31:06.672,6584144
18/07/2018 10:31:06.712,6583111
18/07/2018 10:31:06.752,6583731
18/07/2018 10:31:06.792,6583421
18/07/2018 10:31:06.832,6583008
18/07/2018 10:31:06.872,6582853
18/07/2018 10:31:06.912,6582699
18/07/2018 10:31:06.952,6581615
18/07/2018 10:31:06.992,6581666
18/07/2018 10:31:07.032,6580840
18/07/2018 10:31:07.072,6580892
18/07/2018 10:31:07.112,6580118
18/07/2018 10:31:07.152,6581253
18/07/2018 10:31:07.192,6580427
18/07/2018 10:31:07.232,6581047
18/07/2018 10:31:07.272,6581511
18/07/2018 10:31:07.312,6581098
18/07/2018 10:31:07.352,6580840
18/07/2018 10:31:07.392,6580944
18/07/2018 10:31:07.432,6581305
18/07/2018 10:31:07.472,6581047
18/07/2018 10:31:07.512,6581408
18/07/2018 10:31:07.552,6581718
18/07/2018 10:31:07.592,6581356
18/07/2018 10:31:07.632,6582750
18/07/2018 10:31:07.672,6583266
18/07/2018 10:31:07.712,6585537
18/07/2018 10:31:07.752,6585950
18/07/2018 10:31:07.792,6586105
18/07/2018 10:31:07.832,6586570
18/07/2018 10:31:07.872,6586725
18/07/2018 10:31:07.912,6587654
18/07/2018 10:31:07.952,6588273
18/07/2018 10:31:07.992,6588996
18/07/2018 10:31:08.032,6588273
18/07/2018 10:31:08.072,6587705
18/07/2018 10:31:08.112,6587447
18/07/2018 10:31:08.152,6587447
18/07/2018 10:31:08.192,6586209
18/07/2018 10:31:08.232,6585073
18/07/2018 10:31:08.272,6583834
18/07/2018 10:31:08.312,6582802
18/07/2018 10:31:08.352,6582595
18/07/2018 10:31:08.392,6581769
18/07/2018 10:31:08.432,6581872
18/07/2018 10:31:08.472,6581253
18/07/2018 10:31:08.512,6578775
18/07/2018 10:31:08.552,6574646
18/07/2018 10:31:08.592,6573098
18/07/2018 10:31:08.632,6570155
18/07/2018 10:31:08.672,6566336
18/07/2018 10:31:08.712,6568039
18/07/2018 10:31:08.752,6570052
18/07/2018 10:31:08.792,6573666
18/07/2018 10:31:08.832,6568710
18/07/2018 10:31:08.872,6562980
18/07/2018 10:31:08.912,6562051
18/07/2018 10:31:08.952,6559573
18/07/2018 10:31:08.992,6559780
18/07/2018 10:31:09.032,6562000
18/07/2018 10:31:09.072,6567316
18/07/2018 10:31:09.112,6566903
18/07/2018 10:31:09.152,6568607
18/07/2018 10:31:09.192,6569433
18/07/2018 10:31:09.232,6570465
18/07/2018 10:31:09.272,6568555
18/07/2018 10:31:09.312,6565923
18/07/2018 10:31:09.352,6565045
18/07/2018 10:31:09.392,6561484
18/07/2018 10:31:09.432,6560864
18/07/2018 10:31:09.472,6562877
18/07/2018 10:31:09.512,6563342
18/07/2018 10:31:09.552,6564581
18/07/2018 10:31:09.592,6563858
18/07/2018 10:31:09.632,6558232
18/07/2018 10:31:09.672,6550850
18/07/2018 10:31:09.712,6540836
18/07/2018 10:31:09.752,6526383
18/07/2018 10:31:09.792,6516163
18/07/2018 10:31:09.832,6527932
18/07/2018 10:31:09.872,6517402
18/07/2018 10:31:09.912,6525196
18/07/2018 10:31:09.952,6527725
18/07/2018 10:31:09.992,6535933
18/07/2018 10:31:10.032,6540217
18/07/2018 10:31:10.072,6546618
18/07/2018 10:31:10.112,6550747
18/07/2018 10:31:10.152,6546205
18/07/2018 10:31:10.192,6537533
18/07/2018 10:31:10.232,6530358
18/07/2018 10:31:10.272,6530719
18/07/2018 10:31:10.312,6531235
18/07/2018 10:31:10.352,6535881
18/07/2018 10:31:10.392,6551779
18/07/2018 10:31:10.432,6572891
18/07/2018 10:31:10.472,6613669
18/07/2018 10:31:10.512,6676231
18/07/2018 10:31:10.552,6749632
18/07/2018 10:31:10.592,6842337
18/07/2018 10:31:10.632,6922294
18/07/2018 10:31:10.672,6954142
18/07/2018 10:31:10.712,6952077
18/07/2018 10:31:10.752,6928643
18/07/2018 10:31:10.792,6855913
18/07/2018 10:31:10.832,6744779
18/07/2018 10:31:10.872,6651609
18/07/2018 10:31:10.912,6590648
18/07/2018 10:31:10.952,6559780
18/07/2018 10:31:10.992,6549921
18/07/2018 10:31:11.032,6548889
18/07/2018 10:31:11.072,6571807
18/07/2018 10:31:11.112,6561380
18/07/2018 10:31:11.152,6551986
18/07/2018 10:31:11.192,6543366
18/07/2018 10:31:11.232,6539701
18/07/2018 10:31:11.272,6536139
18/07/2018 10:31:11.312,6537326
18/07/2018 10:31:11.352,6534591
18/07/2018 10:31:11.392,6534177
18/07/2018 10:31:11.432,6532681
18/07/2018 10:31:11.472,6531390
18/07/2018 10:31:11.512,6530564
18/07/2018 10:31:11.552,6529532
18/07/2018 10:31:11.592,6527829
18/07/2018 10:31:11.632,6526642
18/07/2018 10:31:11.672,6525815
18/07/2018 10:31:11.712,6525093
18/07/2018 10:31:11.752,6523441
18/07/2018 10:31:11.792,6522925
18/07/2018 10:31:11.832,6523441
18/07/2018 10:31:11.872,6522873
18/07/2018 10:31:11.912,6521996
18/07/2018 10:31:11.952,6521273
18/07/2018 10:31:11.992,6521841
18/07/2018 10:31:12.032,6520344
18/07/2018 10:31:12.072,6520808
18/07/2018 10:31:12.112,6521273
18/07/2018 10:31:12.152,6521996
18/07/2018 10:31:12.192,6521738
18/07/2018 10:31:12.232,6521479
18/07/2018 10:31:12.272,6521531
18/07/2018 10:31:12.312,6521531
18/07/2018 10:31:12.352,6520138
18/07/2018 10:31:12.392,6521222
18/07/2018 10:31:12.432,6520860
18/07/2018 10:31:12.472,6520189
18/07/2018 10:31:12.512,6520808
18/07/2018 10:31:12.552,6520241
