"Subject","Condition","Session","PerformanceCriteria","Value"
"T021","BH","DT","WordCount","261"
"T021","BH","ST","WordCount","101"
"T031","IL","DT","WordCount","241"
"T031","IL","ST","WordCount","112"
"T032","IL","DT","WordCount","173"
"T032","IL","ST","WordCount","71"
"T035","IL","DT","WordCount","147"
"T035","IL","ST","WordCount","85"
"T037","IL","DT","WordCount","316"
"T037","IL","ST","WordCount","93"
"T046","BL","DT","WordCount","221"
"T046","BL","ST","WordCount","53"
"T047","BL","DT","WordCount","205"
"T047","BL","ST","WordCount","123"
"T051","BL","DT","WordCount","634"
"T051","BL","ST","WordCount","123"
"T061","IH","DT","WordCount","520"
"T061","IH","ST","WordCount","100"
"T063","IH","DT","WordCount","380"
"T063","IH","ST","WordCount","120"
"T064","IH","DT","WordCount","131"
"T064","IH","ST","WordCount","72"
"T065","IH","DT","WordCount","370"
"T065","IH","ST","WordCount","190"
"T066","IH","DT","WordCount","289"
"T066","IH","ST","WordCount","98"
"T068","IH","DT","WordCount","534"
"T068","IH","ST","WordCount","183"
"T077","BH","DT","WordCount","386"
"T077","BH","ST","WordCount","119"
"T078","BH","DT","WordCount","104"
"T078","BH","ST","WordCount","120"
"T079","BH","DT","WordCount","234"
"T079","BH","ST","WordCount","82"
"T082","BH","DT","WordCount","391"
"T082","BH","ST","WordCount","155"
"T083","BH","DT","WordCount","250"
"T083","BH","ST","WordCount","140"
"T084","BH","DT","WordCount","533"
"T084","BH","ST","WordCount","146"
"T091","IL","DT","WordCount","429"
"T091","IL","ST","WordCount","218"
"T092","IL","DT","WordCount","373"
"T092","IL","ST","WordCount","133"
"T093","IL","DT","WordCount","214"
"T093","IL","ST","WordCount","74"
"T094","IL","DT","WordCount","134"
"T094","IL","ST","WordCount","104"
"T096","IL","DT","WordCount","402"
"T096","IL","ST","WordCount","133"
"T098","IL","DT","WordCount","334"
"T098","IL","ST","WordCount","127"
"T099","IL","DT","WordCount","338"
"T099","IL","ST","WordCount","142"
"T106","BL","DT","WordCount","74"
"T106","BL","ST","WordCount","105"
"T112","BL","DT","WordCount","22"
"T112","BL","ST","WordCount","44"
"T113","BL","DT","WordCount","364"
"T113","BL","ST","WordCount","106"
"T114","BL","DT","WordCount","466"
"T114","BL","ST","WordCount","188"
"T121","IH","DT","WordCount","494"
"T121","IH","ST","WordCount","103"
"T122","IH","DT","WordCount","256"
"T122","IH","ST","WordCount","132"
"T124","IH","DT","WordCount","256"
"T124","IH","ST","WordCount","109"
"T126","IH","DT","WordCount","553"
"T126","IH","ST","WordCount","126"
"T128","IH","DT","WordCount","222"
"T128","IH","ST","WordCount","117"
"T130","IH","DT","WordCount","526"
"T130","IH","ST","WordCount","190"
"T132","IH","DT","WordCount","585"
"T132","IH","ST","WordCount","222"
"T138","BH","DT","WordCount","281"
"T138","BH","ST","WordCount","178"
"T139","BH","DT","WordCount","165"
"T139","BH","ST","WordCount","125"
"T141","BH","DT","WordCount","186"
"T141","BH","ST","WordCount","116"
"T144","BH","DT","WordCount","180"
"T144","BH","ST","WordCount","168"
"T145","BH","DT","WordCount","505"
"T145","BH","ST","WordCount","101"
"T151","IL","DT","WordCount","376"
"T151","IL","ST","WordCount","150"
"T152","IL","DT","WordCount","474"
"T152","IL","ST","WordCount","180"
"T154","IL","DT","WordCount","267"
"T154","IL","ST","WordCount","210"
"T156","IL","DT","WordCount","203"
"T156","IL","ST","WordCount","69"
"T157","IL","DT","WordCount","356"
"T157","IL","ST","WordCount","110"
"T162","IL","DT","WordCount","538"
"T162","IL","ST","WordCount","100"
"T166","BL","DT","WordCount","375"
"T166","BL","ST","WordCount","168"
"T172","BL","DT","WordCount","165"
"T172","BL","ST","WordCount","97"
"T173","BL","DT","WordCount","678"
"T173","BL","ST","WordCount","232"
"T174","BL","DT","WordCount","374"
"T174","BL","ST","WordCount","128"
"T175","BL","DT","WordCount","404"
"T175","BL","ST","WordCount","164"
"T176","BL","DT","WordCount","442"
"T176","BL","ST","WordCount","113"
"T178","BL","DT","WordCount","538"
"T178","BL","ST","WordCount","127"
"T003","IH","DT","GrammarErrorsRelative","0"
"T003","IH","ST","GrammarErrorsRelative","0.00793650793650794"
"T005","IH","DT","GrammarErrorsRelative","0.00571428571428571"
"T005","IH","ST","GrammarErrorsRelative","0"
"T009","IH","DT","GrammarErrorsRelative","0"
"T009","IH","ST","GrammarErrorsRelative","0.0104166666666667"
"T011","IH","DT","GrammarErrorsRelative","0.021505376344086"
"T011","IH","ST","GrammarErrorsRelative","0"
"T016","BH","DT","GrammarErrorsRelative","0.00333333333333333"
"T016","BH","ST","GrammarErrorsRelative","0.0116279069767442"
"T019","BH","DT","GrammarErrorsRelative","0.0180722891566265"
"T019","BH","ST","GrammarErrorsRelative","0.00909090909090909"
"T021","BH","DT","GrammarErrorsRelative","0"
"T021","BH","ST","GrammarErrorsRelative","0"
"T031","IL","DT","GrammarErrorsRelative","0.004149377593361"
"T031","IL","ST","GrammarErrorsRelative","0"
"T032","IL","DT","GrammarErrorsRelative","0"
"T032","IL","ST","GrammarErrorsRelative","0"
"T035","IL","DT","GrammarErrorsRelative","0"
"T035","IL","ST","GrammarErrorsRelative","0"
"T037","IL","DT","GrammarErrorsRelative","0"
"T037","IL","ST","GrammarErrorsRelative","0"
"T046","BL","DT","GrammarErrorsRelative","0.0180995475113122"
"T046","BL","ST","GrammarErrorsRelative","0"
"T047","BL","DT","GrammarErrorsRelative","0.0048780487804878"
"T047","BL","ST","GrammarErrorsRelative","0.00813008130081301"
"T051","BL","DT","GrammarErrorsRelative","0.00315457413249211"
"T051","BL","ST","GrammarErrorsRelative","0"
"T061","IH","DT","GrammarErrorsRelative","0.00192307692307692"
"T061","IH","ST","GrammarErrorsRelative","0"
"T063","IH","DT","GrammarErrorsRelative","0"
"T063","IH","ST","GrammarErrorsRelative","0.00833333333333333"
"T064","IH","DT","GrammarErrorsRelative","0.00763358778625954"
"T064","IH","ST","GrammarErrorsRelative","0.0138888888888889"
"T065","IH","DT","GrammarErrorsRelative","0"
"T065","IH","ST","GrammarErrorsRelative","0"
"T066","IH","DT","GrammarErrorsRelative","0.0069204152249135"
"T066","IH","ST","GrammarErrorsRelative","0"
"T068","IH","DT","GrammarErrorsRelative","0.00187265917602996"
"T068","IH","ST","GrammarErrorsRelative","0.00546448087431694"
"T077","BH","DT","GrammarErrorsRelative","0.00259067357512953"
"T077","BH","ST","GrammarErrorsRelative","0"
"T078","BH","DT","GrammarErrorsRelative","0.00961538461538462"
"T078","BH","ST","GrammarErrorsRelative","0"
"T079","BH","DT","GrammarErrorsRelative","0"
"T079","BH","ST","GrammarErrorsRelative","0"
"T082","BH","DT","GrammarErrorsRelative","0"
"T082","BH","ST","GrammarErrorsRelative","0"
"T083","BH","DT","GrammarErrorsRelative","0"
"T083","BH","ST","GrammarErrorsRelative","0"
"T084","BH","DT","GrammarErrorsRelative","0.00187617260787992"
"T084","BH","ST","GrammarErrorsRelative","0"
"T091","IL","DT","GrammarErrorsRelative","0"
"T091","IL","ST","GrammarErrorsRelative","0.00458715596330275"
"T092","IL","DT","GrammarErrorsRelative","0.00268096514745308"
"T092","IL","ST","GrammarErrorsRelative","0"
"T093","IL","DT","GrammarErrorsRelative","0"
"T093","IL","ST","GrammarErrorsRelative","0"
"T094","IL","DT","GrammarErrorsRelative","0.0223880597014925"
"T094","IL","ST","GrammarErrorsRelative","0"
"T096","IL","DT","GrammarErrorsRelative","0.00497512437810945"
"T096","IL","ST","GrammarErrorsRelative","0"
"T098","IL","DT","GrammarErrorsRelative","0.00598802395209581"
"T098","IL","ST","GrammarErrorsRelative","0"
"T099","IL","DT","GrammarErrorsRelative","0.0029585798816568"
"T099","IL","ST","GrammarErrorsRelative","0"
"T106","BL","DT","GrammarErrorsRelative","0.0135135135135135"
"T106","BL","ST","GrammarErrorsRelative","0"
"T112","BL","DT","GrammarErrorsRelative","0.0454545454545455"
"T112","BL","ST","GrammarErrorsRelative","0"
"T113","BL","DT","GrammarErrorsRelative","0.00274725274725275"
"T113","BL","ST","GrammarErrorsRelative","0"
"T114","BL","DT","GrammarErrorsRelative","0.00214592274678112"
"T114","BL","ST","GrammarErrorsRelative","0"
"T121","IH","DT","GrammarErrorsRelative","0"
"T121","IH","ST","GrammarErrorsRelative","0"
"T122","IH","DT","GrammarErrorsRelative","0"
"T122","IH","ST","GrammarErrorsRelative","0"
"T124","IH","DT","GrammarErrorsRelative","0.00390625"
"T124","IH","ST","GrammarErrorsRelative","0"
"T126","IH","DT","GrammarErrorsRelative","0.00723327305605787"
"T126","IH","ST","GrammarErrorsRelative","0.0158730158730159"
"T128","IH","DT","GrammarErrorsRelative","0"
"T128","IH","ST","GrammarErrorsRelative","0"
"T130","IH","DT","GrammarErrorsRelative","0.00380228136882129"
"T130","IH","ST","GrammarErrorsRelative","0.0105263157894737"
"T132","IH","DT","GrammarErrorsRelative","0.00341880341880342"
"T132","IH","ST","GrammarErrorsRelative","0"
"T138","BH","DT","GrammarErrorsRelative","0"
"T138","BH","ST","GrammarErrorsRelative","0.00561797752808989"
"T139","BH","DT","GrammarErrorsRelative","0"
"T139","BH","ST","GrammarErrorsRelative","0.008"
"T141","BH","DT","GrammarErrorsRelative","0"
"T141","BH","ST","GrammarErrorsRelative","0"
"T144","BH","DT","GrammarErrorsRelative","0"
"T144","BH","ST","GrammarErrorsRelative","0"
"T145","BH","DT","GrammarErrorsRelative","0"
"T145","BH","ST","GrammarErrorsRelative","0"
"T151","IL","DT","GrammarErrorsRelative","0.00797872340425532"
"T151","IL","ST","GrammarErrorsRelative","0"
"T152","IL","DT","GrammarErrorsRelative","0.00632911392405063"
"T152","IL","ST","GrammarErrorsRelative","0.00555555555555556"
"T154","IL","DT","GrammarErrorsRelative","0.00374531835205993"
"T154","IL","ST","GrammarErrorsRelative","0.00476190476190476"
"T156","IL","DT","GrammarErrorsRelative","0.00492610837438424"
"T156","IL","ST","GrammarErrorsRelative","0"
"T157","IL","DT","GrammarErrorsRelative","0.00280898876404494"
"T157","IL","ST","GrammarErrorsRelative","0.0181818181818182"
"T162","IL","DT","GrammarErrorsRelative","0"
"T162","IL","ST","GrammarErrorsRelative","0"
"T166","BL","DT","GrammarErrorsRelative","0.00533333333333333"
"T166","BL","ST","GrammarErrorsRelative","0.00595238095238095"
"T172","BL","DT","GrammarErrorsRelative","0"
"T172","BL","ST","GrammarErrorsRelative","0"
"T173","BL","DT","GrammarErrorsRelative","0"
"T173","BL","ST","GrammarErrorsRelative","0"
"T174","BL","DT","GrammarErrorsRelative","0"
"T174","BL","ST","GrammarErrorsRelative","0.0078125"
"T175","BL","DT","GrammarErrorsRelative","0"
"T175","BL","ST","GrammarErrorsRelative","0.00609756097560976"
"T176","BL","DT","GrammarErrorsRelative","0.00226244343891403"
"T176","BL","ST","GrammarErrorsRelative","0"
"T178","BL","DT","GrammarErrorsRelative","0"
"T178","BL","ST","GrammarErrorsRelative","0"
"T003","IH","DT","MechanicErrorsRelative","0.0136239782016349"
"T003","IH","ST","MechanicErrorsRelative","0.0158730158730159"
"T005","IH","DT","MechanicErrorsRelative","0.0228571428571429"
"T005","IH","ST","MechanicErrorsRelative","0.0547945205479452"
"T009","IH","DT","MechanicErrorsRelative","0.0132743362831858"
"T009","IH","ST","MechanicErrorsRelative","0.0104166666666667"
"T011","IH","DT","MechanicErrorsRelative","0.0752688172043011"
"T011","IH","ST","MechanicErrorsRelative","0.016260162601626"
"T016","BH","DT","MechanicErrorsRelative","0.04"
"T016","BH","ST","MechanicErrorsRelative","0.0116279069767442"
"T019","BH","DT","MechanicErrorsRelative","0.0542168674698795"
"T019","BH","ST","MechanicErrorsRelative","0.00909090909090909"
"T021","BH","DT","MechanicErrorsRelative","0.111111111111111"
"T021","BH","ST","MechanicErrorsRelative","0.0594059405940594"
"T031","IL","DT","MechanicErrorsRelative","0.00829875518672199"
"T031","IL","ST","MechanicErrorsRelative","0"
"T032","IL","DT","MechanicErrorsRelative","0.0520231213872832"
"T032","IL","ST","MechanicErrorsRelative","0.0563380281690141"
"T035","IL","DT","MechanicErrorsRelative","0.0612244897959184"
