Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
10.356,Fri Jul 06 10:39:41.820 2018,0,0,0,0,
10.366,Fri Jul 06 10:39:41.830 2018,0,0,0,0,
10.377,Fri Jul 06 10:39:41.841 2018,0,0,0,0,
10.387,Fri Jul 06 10:39:41.851 2018,0,0,0,0,
10.397,Fri Jul 06 10:39:41.861 2018,0,0,0,0,
10.407,Fri Jul 06 10:39:41.871 2018,0,0,0,0,
10.418,Fri Jul 06 10:39:41.882 2018,0,0,0,0,
10.427,Fri Jul 06 10:39:41.891 2018,0,0,0,0,
10.442,Fri Jul 06 10:39:41.906 2018,0,0,0,0,
10.447,Fri Jul 06 10:39:41.911 2018,0,0,0,0,
10.466,Fri Jul 06 10:39:41.930 2018,0,0,0,0,
10.473,Fri Jul 06 10:39:41.937 2018,0,0,0,0,
10.482,Fri Jul 06 10:39:41.946 2018,0,0,0,0,
10.49,Fri Jul 06 10:39:41.954 2018,0,0,0,0,
10.501,Fri Jul 06 10:39:41.965 2018,0,0,0,0,
10.511,Fri Jul 06 10:39:41.975 2018,0,0,0,0,
10.521,Fri Jul 06 10:39:41.985 2018,0,0,0,0,
10.529,Fri Jul 06 10:39:41.994 2018,0,0,0,0,
10.548,Fri Jul 06 10:39:42.013 2018,0,0,0,0,
10.555,Fri Jul 06 10:39:42.020 2018,0,0,0,0,
10.564,Fri Jul 06 10:39:42.029 2018,0,0,0,0,
10.572,Fri Jul 06 10:39:42.036 2018,0,0,0,0,
10.586,Fri Jul 06 10:39:42.049 2018,0,0,0,0,
10.593,Fri Jul 06 10:39:42.057 2018,0,0,0,0,
10.618,Fri Jul 06 10:39:42.082 2018,0,0,0,0,
10.634,Fri Jul 06 10:39:42.098 2018,0,0,0,0,
10.642,Fri Jul 06 10:39:42.106 2018,0,0,0,0,
10.646,Fri Jul 06 10:39:42.110 2018,0,0,0,0,
10.651,Fri Jul 06 10:39:42.115 2018,0,0,0,0,
10.656,Fri Jul 06 10:39:42.120 2018,0,0,0,0,
10.666,Fri Jul 06 10:39:42.130 2018,0,0,0,0,
10.676,Fri Jul 06 10:39:42.140 2018,0,0,0,0,
10.686,Fri Jul 06 10:39:42.150 2018,0,0,0,0,
10.696,Fri Jul 06 10:39:42.160 2018,0,0,0,0,
10.707,Fri Jul 06 10:39:42.171 2018,0,0,0,0,
10.717,Fri Jul 06 10:39:42.181 2018,0,0,0,0,
10.727,Fri Jul 06 10:39:42.191 2018,0,0,0,0,
10.738,Fri Jul 06 10:39:42.202 2018,0,0,0,0,
10.75,Fri Jul 06 10:39:42.214 2018,0,0,0,0,
10.759,Fri Jul 06 10:39:42.224 2018,0,0,0,0,
10.769,Fri Jul 06 10:39:42.234 2018,0,0,0,0,
