"CovertedTime","Time","NR_Perspiration","Perspiration","Session","EDA","HR"
2018-08-08 11:12:18,138,0.00292716537693003,0.00302407793333333,"RestingBaseline",0.414112,92.52
2018-08-08 11:12:19,139,0.0029289421140893,0.003163183125,"RestingBaseline",0.413472,92.48
2018-08-08 11:12:20,140,0.00293098909259408,0.0035400974375,"RestingBaseline",0.41251175,92.47
2018-08-08 11:12:21,141,0.00293315920939337,0.00335153506666667,"RestingBaseline",0.41155125,92.45
2018-08-08 11:12:22,142,0.00293541944051307,0.002919269,"RestingBaseline",0.408031,92.42
2018-08-08 11:12:23,143,0.00293782124879999,0.0028563184,"RestingBaseline",0.407071,92.38
2018-08-08 11:12:24,144,0.00294043853676558,0.0023993720625,"RestingBaseline",0.408351,92.35
2018-08-08 11:12:25,145,0.00294327003179563,0.0039773115625,"RestingBaseline",0.406431,92.28
2018-08-08 11:12:26,146,0.00294612819581417,0.0034076788,"RestingBaseline",0.404831,92.22
2018-08-08 11:12:27,147,0.00294899507815717,0.00428563093333333,"RestingBaseline",0.402591,92.15
2018-08-08 11:12:28,148,0.00295205507759642,0.00237880675,"RestingBaseline",0.400671,92.08
2018-08-08 11:12:29,149,0.00295520728227162,0.003420964,"RestingBaseline",0.402271,92.02
2018-08-08 11:12:30,150,0.00295834260281597,0.00333636393333333,"RestingBaseline",0.401311,91.93
2018-08-08 11:12:31,151,0.00296166560969418,0.0027411736875,"RestingBaseline",0.40003075,91.87
2018-08-08 11:12:32,152,0.00296517834960497,0.0027699270625,"RestingBaseline",0.39619,91.8
2018-08-08 11:12:33,153,0.00296865507131561,0.0025737208,"RestingBaseline",0.39555,91.73
2018-08-08 11:12:34,154,0.00297208183907348,0.0029626958,"RestingBaseline",0.39459,91.68
2018-08-08 11:12:35,155,0.00297567666512649,0.0019326871875,"RestingBaseline",0.39587,91.63
2018-08-08 11:12:36,156,0.00297919416139626,0.00282150157142857,"RestingBaseline",0.39427,91.58
2018-08-08 11:12:37,157,0.00298261680221681,0.00313946433333333,"RestingBaseline",0.39491,91.53
2018-08-08 11:12:38,158,0.00298604373985034,0.00227398571428571,"RestingBaseline",0.39491,91.48
2018-08-08 11:12:39,159,0.00298945467840949,0.00245875366666667,"RestingBaseline",0.40163075,91.45
2018-08-08 11:12:40,160,0.00299155616866346,0.00176001933333333,"RestingBaseline",0.4393935,91.43
2018-08-08 11:12:41,161,0.00299386024829158,0.00296659088235294,"RestingBaseline",0.472036,91.42
2018-08-08 11:12:42,162,0.00299725465327084,0.00212759115384615,"RestingBaseline",0.46147525,91.42
2018-08-08 11:12:43,163,0.00300031960320327,0.00322154233333333,"RestingBaseline",0.454435,91.43
2018-08-08 11:12:44,164,0.00300346460792964,0.00206821893333333,"RestingBaseline",0.44963425,91.43
2018-08-08 11:12:45,165,0.00300633481730989,0.00373113407142857,"RestingBaseline",0.450274,91.45
2018-08-08 11:12:46,166,0.00300900074616073,0.00462798373333333,"RestingBaseline",0.449954,91.48
2018-08-08 11:12:47,167,0.00301151208545693,0.00260827446666667,"RestingBaseline",0.445474,91.52
2018-08-08 11:12:48,168,0.00301373666400405,0.0030901202,"RestingBaseline",0.442914,91.55
2018-08-08 11:12:49,169,0.00301564172186317,0.0029957236,"RestingBaseline",0.440674,91.6
2018-08-08 11:12:50,170,0.00301724151590425,0.0034794510625,"RestingBaseline",0.436513,91.63
2018-08-08 11:12:51,171,0.00301844635416716,0.00398832793333333,"RestingBaseline",0.436193,91.67
2018-08-08 11:12:52,172,0.0030192268567811,0.005153964625,"RestingBaseline",0.4406735,91.7
2018-08-08 11:12:53,173,0.00301957881683564,0.00506623266666667,"RestingBaseline",0.434913,91.72
2018-08-08 11:12:54,174,0.00301949944295541,0.0044632912,"RestingBaseline",0.431713,91.7
2018-08-08 11:12:55,175,0.00301901143067888,0.004661424,"RestingBaseline",0.429153,91.67
2018-08-08 11:12:56,176,0.00301816208934772,0.00669147557142857,"RestingBaseline",0.428193,91.63
2018-08-08 11:12:57,177,0.00301695005051673,0.00507525506666667,"RestingBaseline",0.431393,91.63
2018-08-08 11:12:58,178,0.00301534236118957,0.00415841206666667,"RestingBaseline",0.428833,91.62
2018-08-08 11:12:59,179,0.00301339990182169,0.00316968886666667,"RestingBaseline",0.426913,91.62
2018-08-08 11:13:00,180,0.00301115466643718,0.00248777446666667,"RestingBaseline",0.4243525,91.6
2018-08-08 11:13:01,181,0.00300864198627495,0.0021732702,"RestingBaseline",0.422432,91.58
2018-08-08 11:13:02,182,0.00300589931400073,0.00234334633333333,"RestingBaseline",0.421152,91.58
2018-08-08 11:13:03,183,0.00300296499926314,0.00233420733333333,"RestingBaseline",0.422112,91.58
